	count	mean	std	min	25%	50%	75%	max
age	302.0	54.420530	9.047970	29.000	48.00	55.5	61.00	77.000
sex	302.0	0.682119	0.466426	0.000	0.00	1.0	1.00	1.000
cp	302.0	0.963576	1.032044	0.000	0.00	1.0	2.00	3.000
trestbps	302.0	131.258278	16.605232	94.000	120.00	130.0	140.00	170.000
chol	302.0	245.377070	47.486683	126.000	211.00	240.5	274.75	370.375
fbs	302.0	0.149007	0.356686	0.000	0.00	0.0	0.00	1.000
restecg	302.0	0.526490	0.526027	0.000	0.00	1.0	1.00	2.000
thalach	302.0	149.612997	22.765983	84.125	133.25	152.5	166.00	202.000
exang	302.0	0.327815	0.470196	0.000	0.00	0.0	1.00	1.000
oldpeak	302.0	1.027815	1.110395	0.000	0.00	0.8	1.60	4.000
slope	302.0	1.397351	0.616274	0.000	1.00	1.0	2.00	2.000
ca	302.0	0.718543	1.006748	0.000	0.00	0.0	1.00	4.000
thal	302.0	2.314570	0.613026	0.000	2.00	2.0	3.00	3.000
target	302.0	0.543046	0.498970	0.000	0.00	1.0	1.00	1.000
